tensor([0.1795]),tensor([0.1945]),tensor([0.3300]),tensor([0.1785]),tensor([0.0662]),tensor([0.1692]),tensor([0.1659]),tensor([0.2099]),tensor([0.2622]),tensor([0.1710])
tensor([0.1692]),tensor([0.1705]),tensor([0.1717]),tensor([0.1756]),tensor([0.1813]),tensor([0.1648]),tensor([0.1928]),tensor([0.1794]),tensor([0.2384]),tensor([0.2017])
tensor([0.1644]),tensor([0.0698]),tensor([0.1975]),tensor([0.1763]),tensor([0.1693]),tensor([0.1930]),tensor([0.1763]),tensor([0.1661]),tensor([0.1710]),tensor([0.1823])
tensor([0.1739]),tensor([0.1701]),tensor([0.1746]),tensor([0.1723]),tensor([0.1827]),tensor([0.1636]),tensor([0.1432]),tensor([0.1821]),tensor([0.2124]),tensor([0.2377])
tensor([0.1956]),tensor([0.2283]),tensor([0.1689]),tensor([0.2060]),tensor([0.2323]),tensor([0.1946]),tensor([0.1718]),tensor([0.1812]),tensor([0.1748]),tensor([0.1648])
tensor([0.2729]),tensor([0.1860]),tensor([0.1740]),tensor([0.1752]),tensor([0.1879]),tensor([0.1479]),tensor([0.1900]),tensor([0.1855]),tensor([0.1930]),tensor([0.1748])
tensor([0.1874]),tensor([0.2235]),tensor([0.2028]),tensor([0.2099]),tensor([0.1772]),tensor([0.1757]),tensor([0.1733]),tensor([0.1269]),tensor([0.1716]),tensor([0.1777])
tensor([0.2301]),tensor([0.0699]),tensor([0.1859]),tensor([0.2143]),tensor([0.1770]),tensor([0.1751]),tensor([0.1806]),tensor([0.1708]),tensor([0.1867]),tensor([0.1686])
tensor([0.1867]),tensor([0.0860]),tensor([0.2994]),tensor([0.1807]),tensor([0.1650]),tensor([0.0687]),tensor([0.1709]),tensor([0.1717]),tensor([0.1875]),tensor([0.1674])
tensor([0.2668]),tensor([0.1041]),tensor([0.2181]),tensor([0.1698]),tensor([0.1890]),tensor([0.0638]),tensor([0.1888]),tensor([0.0638]),tensor([0.2106]),tensor([0.1695])
tensor([0.0756]),tensor([0.1922]),tensor([0.1703]),tensor([0.1934]),tensor([0.2377]),tensor([0.2067]),tensor([0.1744]),tensor([0.1924]),tensor([0.1771]),tensor([0.1943])
tensor([0.1988]),tensor([0.1918]),tensor([0.2914]),tensor([0.1851]),tensor([0.1898]),tensor([0.1774]),tensor([0.1701]),tensor([0.0715]),tensor([0.1638]),tensor([0.2786])
tensor([0.2624]),tensor([0.2122]),tensor([0.1723]),tensor([0.1926]),tensor([0.1774]),tensor([0.2010]),tensor([0.1893]),tensor([0.1218]),tensor([0.1526]),tensor([0.1979])
tensor([0.1760]),tensor([0.1939]),tensor([0.1753]),tensor([0.1907]),tensor([0.1764]),tensor([0.1302]),tensor([0.1062]),tensor([0.2268]),tensor([0.2051]),tensor([0.1814])
tensor([0.2564]),tensor([0.2426]),tensor([0.2171]),tensor([0.2789]),tensor([0.1952]),tensor([0.0671]),tensor([0.1825]),tensor([0.0704]),tensor([0.1806]),tensor([0.1796])
tensor([0.2239]),tensor([0.1946]),tensor([0.3015]),tensor([0.1991]),tensor([0.1794]),tensor([0.1972]),tensor([0.1791]),tensor([0.2126]),tensor([0.1714]),tensor([0.1697])
tensor([0.2018]),tensor([0.1840]),tensor([0.1811]),tensor([0.0714]),tensor([0.1913]),tensor([0.1834]),tensor([0.2232]),tensor([0.2871]),tensor([0.1737]),tensor([0.1388])
tensor([0.1734]),tensor([0.2085]),tensor([0.1763]),tensor([0.1972]),tensor([0.1771]),tensor([0.2187]),tensor([0.1838]),tensor([0.1720]),tensor([0.2552]),tensor([0.1850])
tensor([0.1864]),tensor([0.2402]),tensor([0.1748]),tensor([0.1742]),tensor([0.1999]),tensor([0.1773]),tensor([0.2033]),tensor([0.1773]),tensor([0.2111]),tensor([0.1749])
tensor([0.1765]),tensor([0.2128]),tensor([0.1758]),tensor([0.2119]),tensor([0.1765]),tensor([0.2200]),tensor([0.2416]),tensor([0.2499]),tensor([0.2463]),tensor([0.1818])
tensor([0.1730]),tensor([0.2108]),tensor([0.1755]),tensor([0.2162]),tensor([0.1773]),tensor([0.2117]),tensor([0.1815]),tensor([0.2435]),tensor([0.2191]),tensor([0.2502])
tensor([0.1823]),tensor([0.2321]),tensor([0.2010]),tensor([0.1827]),tensor([0.2140]),tensor([0.1809]),tensor([0.1865]),tensor([0.0714]),tensor([0.2057]),tensor([0.1914])
tensor([0.1922]),tensor([0.1744]),tensor([0.2190]),tensor([0.1785]),tensor([0.2119]),tensor([0.1799]),tensor([0.1936]),tensor([0.1772]),tensor([0.2186]),tensor([0.1723])
tensor([0.1750]),tensor([0.2248]),tensor([0.1768]),tensor([0.2049]),tensor([0.1783]),tensor([0.1811]),tensor([0.0701]),tensor([0.1853]),tensor([0.1864]),tensor([0.2505])
tensor([0.2040]),tensor([0.1830]),tensor([0.2441]),tensor([0.1829]),tensor([0.2179]),tensor([0.1789]),tensor([0.2007]),tensor([0.1778]),tensor([0.2139]),tensor([0.1803])
tensor([0.2466]),tensor([0.1814]),tensor([0.1912]),tensor([0.1224]),tensor([0.0612]),tensor([0.2186]),tensor([0.0694]),tensor([0.2073]),tensor([0.3046]),tensor([0.1879])
tensor([0.2589]),tensor([0.1829]),tensor([0.2138]),tensor([0.1779]),tensor([0.1923]),tensor([0.1781]),tensor([0.2057]),tensor([0.1772]),tensor([0.2385]),tensor([0.2548])
tensor([0.1828]),tensor([0.2345]),tensor([0.1784]),tensor([0.2180]),tensor([0.1786]),tensor([0.2233]),tensor([0.1785]),tensor([0.2294]),tensor([0.1551]),tensor([0.2378])
tensor([0.2168]),tensor([0.0732]),tensor([0.2248]),tensor([0.1828]),tensor([0.2240]),tensor([0.1809]),tensor([0.2176]),tensor([0.1799]),tensor([0.2682]),tensor([0.2050])
tensor([0.1948]),tensor([0.2372]),tensor([0.1807]),tensor([0.2106]),tensor([0.0839]),tensor([0.2064]),tensor([0.1868]),tensor([0.2200]),tensor([0.1859]),tensor([0.2271])
tensor([0.1927]),tensor([0.2372]),tensor([0.1768]),tensor([0.0717]),tensor([0.1628]),tensor([0.0706]),tensor([0.2011]),tensor([0.1777]),tensor([0.2307]),tensor([0.1866])
tensor([0.2208]),tensor([0.1839]),tensor([0.2365]),tensor([0.1822]),tensor([0.2253]),tensor([0.1801]),tensor([0.2186]),tensor([0.1878]),tensor([0.2535]),tensor([0.1631])
tensor([0.2583]),tensor([0.2082]),tensor([0.2206]),tensor([0.1813]),tensor([0.2029]),tensor([0.1824]),tensor([0.2246]),tensor([0.1791]),tensor([0.2144]),tensor([0.1838])
tensor([0.2196]),tensor([0.2555]),tensor([0.3606]),tensor([0.3960]),tensor([0.3938]),tensor([0.3157]),tensor([0.2227]),tensor([0.1865]),tensor([0.2309]),tensor([0.0793])
tensor([0.1872]),tensor([0.2114]),tensor([0.1876]),tensor([0.2262]),tensor([0.1841]),tensor([0.2117]),tensor([0.1797]),tensor([0.2086]),tensor([0.1880]),tensor([0.2183])
tensor([0.0739]),tensor([0.0403]),tensor([0.1674]),tensor([0.0741]),tensor([0.2517]),tensor([0.1826]),tensor([0.2206]),tensor([0.0715]),tensor([0.2227]),tensor([0.1891])
tensor([0.1910]),tensor([0.2181]),tensor([0.1910]),tensor([0.2425]),tensor([0.1972]),tensor([0.2240]),tensor([0.1885]),tensor([0.1904]),tensor([0.2215]),tensor([0.1855])
tensor([0.1894]),tensor([0.2339]),tensor([0.1884]),tensor([0.2206]),tensor([0.1882]),tensor([0.2076]),tensor([0.1856]),tensor([0.2079]),tensor([0.1977]),tensor([0.2291])
tensor([0.1892]),tensor([0.2367]),tensor([0.1841]),tensor([0.2409]),tensor([0.1844]),tensor([0.1610]),tensor([0.1429]),tensor([0.0723]),tensor([0.2243]),tensor([0.2157])
tensor([0.2035]),tensor([0.3135]),tensor([0.3096]),tensor([0.3111]),tensor([0.1896]),tensor([0.2383]),tensor([0.1849]),tensor([0.2294]),tensor([0.1940]),tensor([0.2501])
tensor([0.2223]),tensor([0.1936]),tensor([0.2233]),tensor([0.1834]),tensor([0.2181]),tensor([0.1853]),tensor([0.2256]),tensor([0.1838]),tensor([0.2290]),tensor([0.1922])
tensor([0.1708]),tensor([0.0940]),tensor([0.1937]),tensor([0.0312]),tensor([0.1870]),tensor([0.2150]),tensor([0.0672]),tensor([0.2405]),tensor([0.1923]),tensor([0.2374])
tensor([0.2058]),tensor([0.1906]),tensor([0.1965]),tensor([0.1408]),tensor([0.1627]),tensor([0.1912]),tensor([0.2297]),tensor([0.1931]),tensor([0.2218]),tensor([0.0777])
tensor([0.2319]),tensor([0.1932]),tensor([0.2495]),tensor([0.1950]),tensor([0.1876]),tensor([0.1607]),tensor([0.1840]),tensor([0.0754]),tensor([0.2014]),tensor([0.2083])
tensor([0.2443]),tensor([0.2020]),tensor([0.2643]),tensor([0.0726]),tensor([0.1477]),tensor([0.0483]),tensor([0.1983]),tensor([0.1931]),tensor([0.0831]),tensor([0.2304])
tensor([0.3096]),tensor([0.0872]),tensor([0.1894]),tensor([0.0386]),tensor([0.0128]),tensor([0.0186]),tensor([0.0109]),tensor([0.0604]),tensor([0.2214]),tensor([0.2010])
