[0.05826626],[0.25647753],[0.32283756],[0.18809459],[0.07080223],[0.17205605],[0.16538186],[0.12277678],[0.07769417],[0.04840631]
[0.16965982],[0.20698464],[0.38132957],[0.33581802],[0.22319964],[0.18242268],[0.18222481],[0.2288516],[0.1585607],[0.26698467]
[0.05036394],[0.24073127],[0.23773317],[0.18349825],[0.3383036],[0.01129666],[0.02557279],[0.04861204],[0.20020173],[0.1714416]
[0.14028917],[0.13426505],[0.20306714],[0.34341592],[0.28455403],[0.18087314],[0.31359857],[0.16956487],[0.21162291],[0.17178151]
[0.19432728],[0.21575879],[0.18598215],[0.19214617],[0.21383941],[0.19779733],[0.30379578],[0.10125279],[0.35004956],[0.23967706]
[0.18138392],[0.21391873],[0.0631498],[0.26561818],[0.20256267],[0.32171854],[0.38471833],[0.342556],[0.3556783],[0.39667377]
[0.07752421],[0.19966583],[0.2644347],[0.32893777],[0.20853174],[0.27667058],[0.2485076],[0.34249985],[0.13042085],[0.01700585]
[0.27584577],[0.21095093],[0.35879055],[0.27518657],[0.31295708],[0.24951756],[0.13639042],[0.28214073],[0.21732903],[0.18560427]
[0.18591848],[0.32005876],[0.04223566],[0.02078157],[0.01254584],[0.20644851],[0.1797433],[0.20584236],[0.07528917],[0.2092979]
[0.26505554],[0.15264617],[0.10475327],[0.1223532],[0.36004743],[0.37872934],[0.3220532],[0.33825865],[0.39863524],[0.1816085]
[0.20117672],[0.20799266],[0.11326171],[0.14788629],[0.17847064],[0.2043062],[0.06679951],[0.2459841],[0.12597728],[0.11593121]
[0.18135579],[0.219293],[0.28896585],[0.3252705],[0.17160153],[0.16375999],[0.28397542],[0.17917047],[0.22936292],[0.28903612]
[0.09709707],[0.37431848],[0.19288866],[0.17345195],[0.0250066],[0.01712162],[0.05921621],[0.09317842],[0.08928763],[0.04135139]
[0.19266853],[0.18265647],[0.18480611],[0.17599885],[0.19158249],[0.08089373],[0.1388437],[0.19397716],[0.2990416],[0.1417437]
[0.06038217],[0.17985773],[0.08448195],[0.273223],[0.31161126],[0.33298174],[0.373033],[0.1827019],[0.22737376],[0.33858228]
[0.21449463],[0.17320363],[0.13259399],[0.18218236],[0.2127947],[0.17828847],[0.13976704],[0.09653206],[0.17939171],[0.12338991]
[0.28121975],[0.30726612],[0.36718562],[0.39414224],[0.22076197],[0.3923975],[0.19982854],[0.3968547],[0.18200117],[0.20973022]
[0.3110717],[0.238994],[0.19212802],[0.3296296],[0.29956695],[0.22725582],[0.38822767],[0.3663629],[0.20426834],[0.19625457]
[0.3446835],[0.18086486],[0.07897184],[0.15098512],[0.34069228],[0.32661277],[0.27962312],[0.23601282],[0.3419865],[0.2854044]
[0.15795735],[0.38566917],[0.37323475],[0.25537834],[0.26132601],[0.34906566],[0.0134995],[0.09036533],[0.37808105],[0.20168726]
[0.2939383],[0.23337519],[0.19443473],[0.26038772],[0.18078145],[0.01966842],[0.01612055],[0.05466817],[0.18193856],[0.19777526]
[0.39672306],[0.24211979],[0.3450918],[0.36861587],[0.36527142],[0.33353373],[0.39567035],[0.23799856],[0.3950961],[0.35020253]
[0.24116431],[0.18388356],[0.18774365],[0.17982073],[0.2578408],[0.37801453],[0.38967642],[0.05861516],[0.38309],[0.37939605]
[0.20690103],[0.3976404],[0.39631307],[0.39865085],[0.39545012],[0.3674418],[0.38069835],[0.39712048],[0.39675117],[0.32207164]
[0.28605708],[0.2453535],[0.36586693],[0.36289614],[0.3770214],[0.3395351],[0.3283043],[0.03675488],[0.38106155],[0.22159143]
[0.21993263],[0.2171527],[0.20619832],[0.21457043],[0.0842021],[0.02503023],[0.09759374],[0.11872615],[0.03587423],[0.08427499]
[0.01907334],[0.08494974],[0.1720388],[0.0762394],[0.00863227],[0.00833502],[0.01832225],[0.1386684],[0.30615416],[0.01700275]
[0.2456659],[0.18221195],[0.21406637],[0.16416927],[0.20419519],[0.21283968],[0.2302985],[0.25709853],[0.22703762],[0.24281605]
[0.0235213],[0.03534304],[0.07598519],[0.22458139],[0.31377068],[0.29637322],[0.19363722],[0.36528763],[0.2747125],[0.09353665]
[0.05719091],[0.18300961],[0.00868567],[0.09037865],[0.0305969],[0.397533],[0.3991084],[0.39849374],[0.39772138],[0.33257756]
[0.2208],[0.20503168],[0.33304608],[0.19921438],[0.29107907],[0.38349295],[0.31803963],[0.37475693],[0.27846786],[0.2757628]
[0.23618238],[0.18792008],[0.3736083],[0.3958346],[0.30798382],[0.3354382],[0.08290897],[0.17614059],[0.22909315],[0.273122]
[0.27618086],[0.36146247],[0.36983377],[0.21233621],[0.2609852],[0.18102226],[0.19203793],[0.20304881],[0.19091748],[0.22547844]
[0.10872821],[0.19731472],[0.21295922],[0.36344942],[0.38867941],[0.32911295],[0.19560702],[0.20948496],[0.08837336],[0.24502067]
[0.2157344],[0.00388818],[0.04675836],[0.00216174],[0.00565293],[0.00505959],[0.00496865],[0.00430487],[0.00737153],[0.01306475]
[0.23971188],[0.09487181],[0.22663394],[0.19402693],[0.29351866],[0.09260971],[0.24084495],[0.09890721],[0.25634423],[0.30256045]
[0.2567023],[0.1917456],[0.18759163],[0.3356776],[0.38674292],[0.36633003],[0.2907962],[0.37641108],[0.25063774],[0.3114058]
[0.3019722],[0.38495198],[0.35637808],[0.344849],[0.37138304],[0.34164813],[0.19278054],[0.32994768],[0.39779687],[0.27165982]
[0.08000229],[0.1855409],[0.24194773],[0.38007826],[0.3526977],[0.18171875],[0.353679],[0.36376196],[0.23140684],[0.27892604]
[0.25410214],[0.39834398],[0.31736585],[0.39938664],[0.21815632],[0.3821129],[0.39803162],[0.38095698],[0.23470569],[0.29977435]
[0.25383863],[0.23615968],[0.29462668],[0.20068836],[0.22831367],[0.3154172],[0.24484773],[0.25295213],[0.2261995],[0.23522735]
[0.24870808],[0.33885014],[0.31954053],[0.35022447],[0.37053686],[0.309101],[0.35962042],[0.37339526],[0.36883187],[0.26155242]
[0.39519358],[0.38342592],[0.38802794],[0.10818857],[0.39069703],[0.32404125],[0.38102376],[0.3924165],[0.39245704],[0.288155]
[0.26440266],[0.08903092],[0.1513082],[0.08426997],[0.08630789],[0.07509545],[0.07835452],[0.02585806],[0.20040508],[0.26942706]
[0.3250117],[0.36010444],[0.1828008],[0.20487538],[0.0921753],[0.06277056],[0.10552295],[0.24960342],[0.11735209],[0.26355124]
[0.28890735],[0.23354594],[0.25261557],[0.18970941],[0.1423368],[0.22422746],[0.15613739],[0.2112164],[0.24330519],[0.285143]
[0.02033804],[0.01474614],[0.01076633],[0.00727581],[0.00939412],[0.00764493],[0.00686944],[0.01554499],[0.04189248],[0.04187315]
[0.2693119],[0.2465326],[0.16584963],[0.06580286],[0.05220148],[0.07461204],[0.03232478],[0.08741428],[0.07084111],[0.03254241]
[0.2949989],[0.10476835],[0.13474907],[0.08743952],[0.13053553],[0.08331855],[0.03878228],[0.14773043],[0.12209555],[0.3073026]
[0.06721892],[0.24839962],[0.22269714],[0.34890458],[0.34274366],[0.31612954],[0.1973754],[0.3276739],[0.21319818],[0.27364233]
[0.2734311],[0.22534089],[0.20966458],[0.18661551],[0.09598338],[0.16244438],[0.16564204],[0.10083455],[0.24019699],[0.05718608]
[0.07292116],[0.11687453],[0.14340088],[0.10912462],[0.23877206],[0.13938113],[0.24635933],[0.11271086],[0.2732509],[0.30205756]
[0.31470698],[0.2646456],[0.33580717],[0.35062847],[0.349516],[0.37188873],[0.36090657],[0.34235558],[0.37374932],[0.30274844]
[0.09120321],[0.18142572],[0.08785491],[0.1695736],[0.21004294],[0.17451595],[0.19307023],[0.13312182],[0.1671485],[0.14722477]
[0.22414017],[0.10526963],[0.21585226],[0.18743673],[0.09681296],[0.18324268],[0.21284047],[0.23499253],[0.28317383],[0.2992282]
[0.11164769],[0.22945943],[0.22335076],[0.21790648],[0.22883646],[0.21507087],[0.23292044],[0.25255886],[0.27960527],[0.3083252]
[0.11442784],[0.2561644],[0.20686953],[0.21764536],[0.17790525],[0.23484187],[0.26155943],[0.28696522],[0.31416672],[0.31435746]
[0.15233308],[0.17021312],[0.18597363],[0.20625518],[0.21491289],[0.20496798],[0.22416595],[0.17919977],[0.17941685],[0.17797202]
[0.1641055],[0.22510302],[0.22907333],[0.17463917],[0.18951875],[0.21041946],[0.15696315],[0.2054725],[0.20828961],[0.11958022]
[0.11775257],[0.25966302],[0.24980183],[0.21980797],[0.24699448],[0.21456628],[0.22311762],[0.25343755],[0.2856688],[0.32780144]
[0.14010985],[0.12946643],[0.18434249],[0.19568466],[0.19494826],[0.19575457],[0.20584305],[0.2571027],[0.12900437],[0.1600397]
[0.13458489],[0.15181619],[0.19431832],[0.2167145],[0.17241429],[0.22643982],[0.226149],[0.20957065],[0.21927777],[0.20655349]
[0.13322364],[0.18057576],[0.14308839],[0.17807554],[0.17822301],[0.18977726],[0.20345703],[0.21873966],[0.19287445],[0.12317337]
[0.17622034],[0.1130302],[0.18849365],[0.20426969],[0.18682869],[0.18753146],[0.18911248],[0.17797229],[0.13187484],[0.16589546]
[0.16883652],[0.21790102],[0.2150007],[0.18362382],[0.22875848],[0.18773277],[0.22257482],[0.20857957],[0.203148],[0.13623096]
