[[2.6]],[[1.]],[[1.01616162]],[[2.6]],[[1.00009739]],[[2.6]],[[1.000007]],[[2.58383838]],[[1.00007338]],[[2.59977447]]
[[2.59999998]],[[1.00064929]],[[2.56767677]],[[1.03232323]],[[1.01616162]],[[2.6]],[[1.]],[[2.6]],[[1.]],[[2.58383838]]
[[2.6]],[[1.0000606]],[[2.58360369]],[[1.]],[[1.01933238]],[[2.6]],[[1.]],[[2.59987075]],[[1.00006573]],[[2.6]]
[[1.51717177]],[[1.]],[[2.55957283]],[[2.53390105]],[[1.01616162]],[[2.6]],[[1.]],[[2.59954752]],[[1.]],[[2.6]]
[[1.90505051]],[[1.]],[[2.58383838]],[[2.6]],[[2.37373737]],[[1.]],[[2.59996548]],[[1.00004368]],[[1.03232323]],[[2.59994854]]
[[2.55151525]],[[2.56767677]],[[2.58383838]],[[2.58383838]],[[1.06464646]],[[2.58383788]],[[1.]],[[2.50303031]],[[1.]],[[2.6]]
[[2.6]],[[1.]],[[1.01616162]],[[2.58355047]],[[1.]],[[2.56767677]],[[1.06464646]],[[2.60000004]],[[1.03232323]],[[2.59985951]]
[[2.59989812]],[[1.]],[[2.58377234]],[[1.000036]],[[2.58383847]],[[1.01618861]],[[2.53535354]],[[1.03224199]],[[1.01616174]],[[2.6]]
[[2.58383838]],[[2.32525253]],[[2.58383838]],[[1.01616162]],[[2.59981662]],[[2.56767677]],[[1.03232323]],[[2.55151515]],[[1.]],[[2.6]]
[[2.6]],[[1.01623496]],[[2.59982469]],[[1.00005113]],[[2.59792209]],[[1.00000364]],[[2.58383838]],[[1.]],[[1.12929293]],[[1.04848485]]
[[2.6]],[[1.00004555]],[[2.6]],[[1.00007433]],[[2.58383838]],[[2.5772929]],[[1.01616162]],[[2.58383838]],[[1.]],[[2.6]]
[[2.34141415]],[[2.51919192]],[[1.]],[[2.47070707]],[[1.01616162]],[[2.6]],[[1.00000138]],[[2.59980364]],[[1.]],[[2.6]]
[[2.599841]],[[1.01616162]],[[2.59974383]],[[1.00024643]],[[1.]],[[2.48686892]],[[2.60000008]],[[1.00001794]],[[2.6]],[[2.58377013]]
[[2.5999099]],[[1.]],[[2.59993192]],[[1.04848485]],[[2.50280171]],[[1.04848485]],[[2.56767677]],[[2.58383838]],[[1.]],[[2.5999386]]
[[2.59999721]],[[1.0000573]],[[2.48660343]],[[1.01616162]],[[2.58383838]],[[1.]],[[1.03232323]],[[2.51919195]],[[2.06233612]],[[2.53535354]]
[[1.29090909]],[[1.09697049]],[[2.47070561]],[[1.03232323]],[[2.48686869]],[[1.11313131]],[[1.06464646]],[[2.6]],[[1.00001572]],[[2.6]]
[[2.3956471]],[[1.]],[[1.06464646]],[[2.5999331]],[[1.00004186]],[[2.58383838]],[[1.01616162]],[[2.35757576]],[[1.11313131]],[[2.5838384]]
[[2.27676768]],[[1.00000001]],[[2.56767677]],[[2.59971623]],[[1.01616162]],[[2.6]],[[1.06464646]],[[2.6]],[[1.06464646]],[[2.59992682]]
[[2.55151515]],[[1.]],[[2.58383838]],[[1.75086592]],[[1.]],[[2.6]],[[1.04848485]],[[2.55151524]],[[1.05025475]],[[1.38787879]]
[[2.58383838]],[[1.]],[[1.54949495]],[[2.51922952]],[[1.]],[[2.5030303]],[[1.03232323]],[[2.6]],[[1.96969697]],[[2.6]]
[[2.58383838]],[[1.0969697]],[[1.32323232]],[[1.0969697]],[[2.53535358]],[[1.]],[[1.03232323]],[[2.56767677]],[[1.]],[[2.59996458]]
[[2.50298896]],[[1.19259482]],[[1.19407246]],[[2.51919192]],[[1.01629104]],[[2.5030303]],[[1.0001493]],[[2.56767692]],[[1.00002248]],[[2.6000001]]
[[2.56767677]],[[1.08080808]],[[1.03232323]],[[2.55151515]],[[1.]],[[2.6]],[[2.01818182]],[[2.6]],[[1.00010807]],[[2.6]]
[[2.6]],[[1.01616162]],[[1.01616162]],[[2.53535354]],[[2.58383838]],[[1.00002412]],[[2.6]],[[2.55151515]],[[1.0969697]],[[2.56767677]]
[[2.59994574]],[[1.]],[[2.60000005]],[[2.58383838]],[[1.]],[[2.55151515]],[[2.38989899]],[[2.534548]],[[1.0969697]],[[1.77575758]]
[[2.6]],[[1.06464646]],[[2.58383838]],[[2.5030303]],[[1.]],[[2.42222222]],[[1.21010101]],[[1.11313131]],[[1.06464646]],[[2.37373737]]
[[2.6]],[[1.00004074]],[[2.05037921]],[[2.35757576]],[[2.59994497]],[[1.16161616]],[[2.58375905]],[[2.43838384]],[[1.01616162]],[[2.58378837]]
[[1.29090909]],[[1.6464647]],[[2.03434343]],[[2.37373737]],[[2.59989869]],[[2.4866867]],[[1.58181818]],[[2.59993081]],[[1.00002659]],[[2.6]]
[[1.0969697]],[[1.16161616]],[[1.37171717]],[[1.51717172]],[[1.80808081]],[[2.48686094]],[[1.01621774]],[[2.59984307]],[[1.]],[[2.40606061]]
[[1.0969697]],[[1.08080808]],[[1.71111111]],[[1.51717371]],[[2.60000001]],[[1.0000157]],[[1.0969771]],[[2.6]],[[1.06465845]],[[2.5999117]]
[[2.42222222]],[[1.82424242]],[[2.58383838]],[[1.03232323]],[[1.01620252]],[[2.56767536]],[[2.58367708]],[[2.58383838]],[[1.]],[[2.58383874]]
[[2.6]],[[1.]],[[1.06464646]],[[2.37366203]],[[1.01616162]],[[1.30707078]],[[1.00012097]],[[2.32525255]],[[1.]],[[2.47070707]]
[[2.55151515]],[[0.99999997]],[[2.59996813]],[[1.08080808]],[[2.48686622]],[[1.10644043]],[[1.24242424]],[[1.71111111]],[[1.12929298]],[[1.]]
[[2.53535354]],[[1.08080808]],[[2.30909091]],[[2.3090892]],[[1.]],[[2.08282828]],[[1.22626263]],[[2.34141414]],[[1.00002306]],[[2.6]]
[[2.53535354]],[[1.]],[[2.42251877]],[[1.04848485]],[[2.5029734]],[[1.11313131]],[[1.03232323]],[[2.5030303]],[[1.08080808]],[[2.56767677]]
[[2.59996599]],[[1.00001426]],[[2.59996073]],[[1.82424242]],[[2.47048973]],[[1.92121212]],[[1.82424256]],[[1.64646465]],[[1.32323232]],[[1.0969697]]
[[2.6]],[[1.00000956]],[[2.56767677]],[[1.45252525]],[[2.37362972]],[[2.21212121]],[[1.64646465]],[[1.04848485]],[[1.08080894]],[[1.22626263]]
[[2.59997487]],[[1.00001318]],[[2.59994942]],[[2.6]],[[2.06666667]],[[1.88888889]],[[2.19580961]],[[2.01480626]],[[1.69494949]],[[1.43646036]]
[[2.6]],[[1.00007415]],[[2.59972969]],[[1.35555556]],[[2.59986659]],[[2.30863693]],[[1.93712258]],[[1.51717172]],[[1.37186708]],[[1.03232323]]
[[2.55149157]],[[1.00000918]],[[1.]],[[2.6]],[[1.82424242]],[[1.35555556]],[[1.11317507]],[[1.06464646]],[[1.11313674]],[[2.22224113]]
[[2.58373876]],[[1.00002554]],[[2.51899375]],[[1.11313131]],[[2.1959596]],[[2.48686869]],[[1.78349594]],[[2.40606061]],[[1.14545455]],[[2.40606061]]
[[2.58375547]],[[1.22626263]],[[2.45454545]],[[2.37373737]],[[1.01616162]],[[2.38989899]],[[1.]],[[2.56554427]],[[1.16161616]],[[1.88888898]]
[[2.48686869]],[[1.]],[[1.16161616]],[[2.17979798]],[[1.04848485]],[[2.48800851]],[[2.38981098]],[[1.06464665]],[[1.01623976]],[[2.51919192]]
[[2.45454545]],[[1.42020216]],[[1.04848485]],[[2.03434343]],[[2.38989899]],[[1.01616162]],[[2.55142502]],[[1.01616999]],[[2.38983437]],[[1.92121212]]
[[2.53535354]],[[1.03184518]],[[1.08080808]],[[2.55151524]],[[2.48686869]],[[2.58373487]],[[1.]],[[2.59983166]],[[1.29093165]],[[2.03434343]]
[[1.61414141]],[[2.50302418]],[[1.63030303]],[[1.01616162]],[[2.6]],[[1.06464661]],[[2.55116257]],[[1.33939394]],[[2.42222222]],[[1.22626263]]
[[2.59996751]],[[1.00000001]],[[2.53529396]],[[2.40603029]],[[2.05050505]],[[1.72725844]],[[1.19138855]],[[1.51717172]],[[1.66262626]],[[1.25858586]]
[[1.21010101]],[[1.32317873]],[[1.56565657]],[[2.48686869]],[[1.22630494]],[[1.40439635]],[[2.32525253]],[[2.56767651]],[[1.03232323]],[[2.59991711]]
[[1.22626263]],[[1.14545455]],[[1.35555556]],[[1.51320187]],[[1.87272727]],[[2.43823484]],[[1.42020202]],[[2.58379284]],[[1.00001847]],[[2.6]]
[[2.34115309]],[[1.32323232]],[[1.00004187]],[[2.26051183]],[[1.]],[[2.21212121]],[[1.88888889]],[[2.17979798]],[[1.32323232]],[[1.42020202]]
[[2.47060815]],[[1.00001872]],[[2.58377189]],[[2.03433074]],[[1.06471129]],[[2.05050505]],[[1.19391932]],[[2.01818182]],[[1.66262626]],[[1.35555556]]
[[2.6]],[[1.01622448]],[[2.6]],[[2.43838384]],[[1.08080828]],[[2.58383838]],[[1.33939394]],[[1.14545455]],[[1.5979798]],[[1.13991355]]
[[1.26066682]],[[1.61414141]],[[1.75959596]],[[1.66262626]],[[1.84040404]],[[1.95353538]],[[2.27676768]],[[2.58380458]],[[1.00001119]],[[2.47066987]]
[[2.45454545]],[[1.33939427]],[[2.13131313]],[[2.14747475]],[[2.47070709]],[[1.01616162]],[[2.30909091]],[[1.]],[[2.58383838]],[[1.46868687]]
[[1.29090909]],[[1.58181818]],[[1.53333333]],[[1.54949495]],[[1.38787879]],[[1.51717172]],[[1.5979798]],[[2.30909091]],[[1.14554054]],[[2.56760446]]
[[2.35757576]],[[1.21010101]],[[1.56565657]],[[1.88888889]],[[2.55151515]],[[1.04848485]],[[2.6]],[[1.32323232]],[[1.04854369]],[[1.84040404]]
[[2.56763076]],[[1.01616162]],[[2.55145653]],[[2.11515125]],[[2.55151515]],[[2.0020202]],[[1.61414144]],[[1.74343434]],[[1.54949495]],[[1.17777778]]
[[2.21191777]],[[1.19399668]],[[2.32525253]],[[1.01620796]],[[1.30783228]],[[1.67878791]],[[2.30886164]],[[1.54949495]],[[1.88886922]],[[1.29090909]]
[[2.37535769]],[[1.5979798]],[[1.11313131]],[[2.59994518]],[[1.12929293]],[[2.40606061]],[[1.85656566]],[[1.64646465]],[[1.29166861]],[[1.19393939]]
[[1.29090909]],[[1.59798583]],[[2.48686869]],[[1.61630091]],[[1.84040404]],[[2.13131313]],[[1.25858586]],[[2.56767677]],[[1.00004313]],[[2.17979798]]
[[1.5979798]],[[2.58383838]],[[1.46844867]],[[2.3489084]],[[1.06464646]],[[2.53535354]],[[1.29090909]],[[1.82424147]],[[1.01616162]],[[1.19393939]]
[[1.17777778]],[[1.38811443]],[[1.25858586]],[[1.48484848]],[[2.06666667]],[[1.24242424]],[[2.35757576]],[[1.21010101]],[[2.6]],[[1.61414141]]
[[1.12929476]],[[1.38787879]],[[1.61414141]],[[1.77575853]],[[1.84040404]],[[2.08282828]],[[1.21010101]],[[2.06666667]],[[1.08080808]],[[2.40606061]]
[[2.26060606]],[[1.11313131]],[[2.58377608]],[[1.32325874]],[[1.66262626]],[[1.77575759]],[[2.14747475]],[[2.05050505]],[[1.54949495]],[[1.24242424]]
[[1.51717172]],[[1.17777778]],[[1.25858586]],[[1.37171717]],[[1.72727273]],[[1.29090909]],[[1.75959596]],[[2.38987731]],[[1.24242424]],[[2.35757576]]
[[1.0969697]],[[1.37179365]],[[1.50103964]],[[1.67878788]],[[1.06464646]],[[1.82424242]],[[2.1959473]],[[2.55151225]],[[1.17777778]],[[2.35757576]]
[[1.22626263]],[[1.54941917]],[[2.14747483]],[[2.32525253]],[[1.30723428]],[[2.45454545]],[[1.19393939]],[[2.01818182]],[[1.48484848]],[[1.04848485]]
[[1.45252525]],[[2.58383838]],[[1.17777778]],[[2.6]],[[2.43838384]],[[2.03433225]],[[2.38989899]],[[1.92121212]],[[1.21010101]],[[1.24242424]]
[[2.42222222]],[[1.19393939]],[[2.11515132]],[[1.19393939]],[[1.69494958]],[[1.7845873]],[[1.66262626]],[[1.46868687]],[[1.43636364]],[[1.17777778]]
[[1.22631726]],[[1.42020202]],[[1.64646465]],[[1.72727273]],[[1.82424242]],[[1.42020202]],[[2.30908755]],[[2.26060608]],[[1.25858586]],[[2.18915282]]
[[2.13804901]],[[1.08080808]],[[2.24432418]],[[1.01616162]],[[2.42195392]],[[1.51718434]],[[1.29090909]],[[1.48484848]],[[1.21010101]],[[1.01616162]]
[[1.79191919]],[[2.11515045]],[[1.12929293]],[[2.6]],[[1.75959656]],[[1.51731163]],[[1.37184812]],[[1.14216657]],[[1.50107002]],[[1.2755824]]
[[1.95353535]],[[1.24250079]],[[2.01664655]],[[1.33939394]],[[2.30909091]],[[1.0969697]],[[2.01818182]],[[1.80808083]],[[2.06666667]],[[1.45252533]]
[[1.14570335]],[[1.64646465]],[[2.58383843]],[[1.]],[[2.55147092]],[[2.0987944]],[[1.79191905]],[[1.29933793]],[[1.77575556]],[[1.22626263]]
[[1.30707071]],[[1.43636364]],[[1.58181818]],[[2.35757576]],[[1.46868687]],[[1.14545455]],[[2.05050505]],[[1.19324765]],[[1.5010101]],[[1.72680184]]
[[1.58181818]],[[2.47070707]],[[1.46868687]],[[2.48686918]],[[1.67878788]],[[2.17979798]],[[2.05050505]],[[1.71111111]],[[1.90505051]],[[1.32323232]]
[[1.54949495]],[[2.56767677]],[[1.35555556]],[[2.09899005]],[[1.58181818]],[[1.87272727]],[[2.56767476]],[[1.82424242]],[[1.54949495]],[[1.29090909]]
[[1.30707071]],[[1.67878788]],[[1.80808182]],[[2.26754869]],[[1.82424242]],[[1.92121212]],[[2.56761794]],[[1.16161616]],[[2.56767676]],[[1.5979798]]
[[1.24242424]],[[1.25859749]],[[1.67878788]],[[2.24444444]],[[2.03434343]],[[2.51919192]],[[1.64646465]],[[1.03232323]],[[2.59986587]],[[1.40424893]]
